Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Total,Total,2.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Total,Total,4.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Total,Total,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Total,Total,34.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Total,Total,22.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Total,Total,32.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Total,Total,16.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Total,Total,22.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Total,Total,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Total,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Total,Total,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Total,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Total,Total,29.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Total,Total,34.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Total,Total,32,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Total,Total,2.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Total,Total,4.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Total,Total,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Total,Total,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Total,Total,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Total,Total,1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Total,Total,7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Total,Total,3.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Total,Total,6.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Total,Total,6.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Total,Total,6.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Total,Total,5.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Total,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Total,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Total,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Sex,Male,2.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Sex,Male,4.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Sex,Male,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Sex,Male,35.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Sex,Male,23.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Sex,Male,33,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Sex,Male,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Sex,Male,22.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Sex,Male,15.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Male,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Male,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Male,0.1,percentage,% of people where information available,
