Census Year,Subject population,Measure,Response,Unit,Value,Value Unit,Value Label,Null Reason
2013,Households in occupied private dwellings,Access to telecommunication systems,No access to telecommunication systems,Count,24135,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,No access to telecommunication systems,Percentage of total stated,1.641893698353,percentage,% of households where information available,
2018,Households in occupied private dwellings,Access to telecommunication systems,No access to telecommunication systems,Count,16947,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,No access to telecommunication systems,Percentage of total stated,1.111207279794,percentage,% of households where information available,
2023,Households in occupied private dwellings,Access to telecommunication systems,No access to telecommunication systems,Count,19428,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,No access to telecommunication systems,Percentage of total stated,1.19223610546,percentage,% of households where information available,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to a cellphone/mobile phone,Count,1230174,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to a cellphone/mobile phone,Percentage of total stated,83.68820959094,percentage,% of households where information available,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to a cellphone/mobile phone,Count,1402122,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to a cellphone/mobile phone,Percentage of total stated,91.93651817785,percentage,% of households where information available,
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to a cellphone/mobile phone,Count,1522950,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to a cellphone/mobile phone,Percentage of total stated,93.4587181805,percentage,% of households where information available,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to a telephone,Count,1257195,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to a telephone,Percentage of total stated,85.52643663147,percentage,% of households where information available,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to a telephone,Count,953457,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to a telephone,Percentage of total stated,62.51775295751,percentage,% of households where information available,
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to a telephone,Count,504384,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to a telephone,Percentage of total stated,30.95248176943,percentage,% of households where information available,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to a fax machine,Count,214554,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to a fax machine,Percentage of total stated,14.59601659649,percentage,% of households where information available,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to a fax machine,Count,,number,Number of households,not available
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to a fax machine,Percentage of total stated,,percentage,% of households where information available,not available
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to a fax machine,Count,,number,Number of households,not available
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to a fax machine,Percentage of total stated,,percentage,% of households where information available,not available
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to the internet,Count,1128738,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Access to the internet,Percentage of total stated,76.78756201746,percentage,% of households where information available,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to the internet,Count,1313376,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,Access to the internet,Percentage of total stated,86.11748228638,percentage,% of households where information available,
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to the internet,Count,1473933,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,Access to the internet,Percentage of total stated,90.45069691318,percentage,% of households where information available,
2013,Households in occupied private dwellings,Access to telecommunication systems,Not elsewhere included,Count,79941,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2018,Households in occupied private dwellings,Access to telecommunication systems,Not elsewhere included,Count,128694,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2023,Households in occupied private dwellings,Access to telecommunication systems,Not elsewhere included,Count,150984,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2013,Households in occupied private dwellings,Access to telecommunication systems,Total,Count,1549890,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2018,Households in occupied private dwellings,Access to telecommunication systems,Total,Count,1653792,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2023,Households in occupied private dwellings,Access to telecommunication systems,Total,Count,1780527,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2013,Households in occupied private dwellings,Access to telecommunication systems,Total stated,Count,1469949,number,Number of households,
2013,Households in occupied private dwellings,Access to telecommunication systems,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2018,Households in occupied private dwellings,Access to telecommunication systems,Total stated,Count,1525098,number,Number of households,
2018,Households in occupied private dwellings,Access to telecommunication systems,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2023,Households in occupied private dwellings,Access to telecommunication systems,Total stated,Count,1629543,number,Number of households,
2023,Households in occupied private dwellings,Access to telecommunication systems,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,No motor vehicle,Count,116379,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,No motor vehicle,Percentage of total stated,7.90748207246,percentage,% of households where information available,
2018,Households in occupied private dwellings,Number of motor vehicles,No motor vehicle,Count,100302,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,No motor vehicle,Percentage of total stated,6.610566942025,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,No motor vehicle,Count,102453,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,No motor vehicle,Percentage of total stated,6.29998099915,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,One motor vehicle,Count,552813,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,One motor vehicle,Percentage of total stated,37.56140615509,percentage,% of households where information available,
2018,Households in occupied private dwellings,Number of motor vehicles,One motor vehicle,Count,514992,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,One motor vehicle,Percentage of total stated,33.94138791457,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,One motor vehicle,Count,545253,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,One motor vehicle,Percentage of total stated,33.52838413447,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,Two motor vehicles,Count,565095,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,Two motor vehicles,Percentage of total stated,38.39591835071,percentage,% of households where information available,
2018,Households in occupied private dwellings,Number of motor vehicles,Two motor vehicles,Count,598062,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Two motor vehicles,Percentage of total stated,39.41625178442,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,Two motor vehicles,Count,636840,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Two motor vehicles,Percentage of total stated,39.16019930601,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,Three motor vehicles,Count,237471,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,Three motor vehicles,Percentage of total stated,16.13519342174,percentage,% of households where information available,
2018,Households in occupied private dwellings,Number of motor vehicles,Three motor vehicles,Count,194910,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Three motor vehicles,Percentage of total stated,12.84586152489,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,Three motor vehicles,Count,214302,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Three motor vehicles,Percentage of total stated,13.17773543068,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,Four motor vehicles,Count,,number,Number of households,not available
2013,Households in occupied private dwellings,Number of motor vehicles,Four motor vehicles,Percentage of total stated,,percentage,% of households where information available,not available
2018,Households in occupied private dwellings,Number of motor vehicles,Four motor vehicles,Count,73143,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Four motor vehicles,Percentage of total stated,4.82060874001,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,Four motor vehicles,Count,82632,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Four motor vehicles,Percentage of total stated,5.081159457719,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,Five or more motor vehicles,Count,,number,Number of households,not available
2013,Households in occupied private dwellings,Number of motor vehicles,Five or more motor vehicles,Percentage of total stated,,percentage,% of households where information available,not available
2018,Households in occupied private dwellings,Number of motor vehicles,Five or more motor vehicles,Count,35889,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Five or more motor vehicles,Percentage of total stated,2.365323094079,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,Five or more motor vehicles,Count,44766,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Five or more motor vehicles,Percentage of total stated,2.752725146242,percentage,% of households where information available,
2013,Households in occupied private dwellings,Number of motor vehicles,Not elsewhere included,Count,78132,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2018,Households in occupied private dwellings,Number of motor vehicles,Not elsewhere included,Count,136494,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2023,Households in occupied private dwellings,Number of motor vehicles,Not elsewhere included,Count,154284,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2013,Households in occupied private dwellings,Number of motor vehicles,Total,Count,1549890,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2018,Households in occupied private dwellings,Number of motor vehicles,Total,Count,1653792,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2023,Households in occupied private dwellings,Number of motor vehicles,Total,Count,1780527,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2013,Households in occupied private dwellings,Number of motor vehicles,Total stated,Count,1471758,number,Number of households,
2013,Households in occupied private dwellings,Number of motor vehicles,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2018,Households in occupied private dwellings,Number of motor vehicles,Total stated,Count,1517298,number,Number of households,
2018,Households in occupied private dwellings,Number of motor vehicles,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2023,Households in occupied private dwellings,Number of motor vehicles,Total stated,Count,1626243,number,Number of households,
2023,Households in occupied private dwellings,Number of motor vehicles,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,Dwelling owned or partly owned,Count,725448,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,Dwelling owned or partly owned,Percentage of total stated,49.93319966383,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,Dwelling owned or partly owned,Count,847377,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,Dwelling owned or partly owned,Percentage of total stated,51.26111574897,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,Dwelling owned or partly owned,Count,978105,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,Dwelling owned or partly owned,Percentage of total stated,54.94650874331,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,Dwelling not owned and not held in a family trust,Count,512109,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,Dwelling not owned and not held in a family trust,Percentage of total stated,35.24889578115,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,Dwelling not owned and not held in a family trust,Count,586131,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,Dwelling not owned and not held in a family trust,Percentage of total stated,35.4573336721,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,Dwelling not owned and not held in a family trust,Count,604884,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,Dwelling not owned and not held in a family trust,Percentage of total stated,33.9802618274,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,Dwelling held in a family trust,Count,215280,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,Dwelling held in a family trust,Percentage of total stated,14.81790455502,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,Dwelling held in a family trust,Count,219555,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,Dwelling held in a family trust,Percentage of total stated,13.28173206054,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,Dwelling held in a family trust,Count,197112,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,Dwelling held in a family trust,Percentage of total stated,11.07306089981,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage arrangements not further defined",Count,18687,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage arrangements not further defined",Percentage of total stated,1.286242021645,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage arrangements not further defined",Count,76989,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage arrangements not further defined",Percentage of total stated,4.657362709158,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage arrangements not further defined",Count,85416,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage arrangements not further defined",Percentage of total stated,4.798371331113,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments made",Count,398373,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments made",Percentage of total stated,27.42035066563,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments made",Count,459414,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments made",Percentage of total stated,27.79173169758,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments made",Count,511308,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments made",Percentage of total stated,28.72349031293,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments not made",Count,308385,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments not made",Percentage of total stated,21.22640048402,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments not made",Count,310974,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments not made",Percentage of total stated,18.81202134224,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments not made",Count,381381,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling owned or partly owned, mortgage payments not made",Percentage of total stated,21.42464709927,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Count,5088,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Percentage of total stated,0.350211345113,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Count,1806,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Percentage of total stated,0.1092519327792,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Count,1701,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Percentage of total stated,0.09555621469307,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments made",Count,453132,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments made",Percentage of total stated,31.1894589689,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments made",Count,527853,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments made",Percentage of total stated,31.93187180139,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments made",Count,565974,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments made",Percentage of total stated,31.79443448248,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments not made",Count,53889,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments not made",Percentage of total stated,3.709225467138,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments not made",Count,56472,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments not made",Percentage of total stated,3.416209937933,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments not made",Count,37212,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling not owned and not held in a family trust, rent payments not made",Percentage of total stated,2.090439659705,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage arrangements not further defined",Count,14460,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage arrangements not further defined",Percentage of total stated,0.99529403505,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage arrangements not further defined",Count,23535,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage arrangements not further defined",Percentage of total stated,1.423723276832,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage arrangements not further defined",Count,22074,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage arrangements not further defined",Percentage of total stated,1.240039907781,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments made",Count,92439,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments made",Percentage of total stated,6.362654585477,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments made",Count,87663,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments made",Percentage of total stated,5.303074298574,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments made",Count,74586,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments made",Percentage of total stated,4.189979911286,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments not made",Count,108384,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments not made",Percentage of total stated,7.460162427031,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments not made",Count,108354,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments not made",Percentage of total stated,6.554753003521,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments not made",Count,100452,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,"Dwelling held in a family trust, mortgage payments not made",Percentage of total stated,5.643041080746,percentage,% of households where information available,
2013,Households in occupied private dwellings,Tenure of household,Not elsewhere included,Count,97050,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2018,Households in occupied private dwellings,Tenure of household,Not elsewhere included,Count,729,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2023,Households in occupied private dwellings,Tenure of household,Not elsewhere included,Count,423,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,Not elsewhere included,Percentage of total stated,,percentage,% of households where information available,not applicable
2013,Households in occupied private dwellings,Tenure of household,Total,Count,1549890,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2018,Households in occupied private dwellings,Tenure of household,Total,Count,1653792,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2023,Households in occupied private dwellings,Tenure of household,Total,Count,1780527,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,Total,Percentage of total stated,,percentage,% of households where information available,not applicable
2013,Households in occupied private dwellings,Tenure of household,Total stated,Count,1452837,number,Number of households,
2013,Households in occupied private dwellings,Tenure of household,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2018,Households in occupied private dwellings,Tenure of household,Total stated,Count,1653060,number,Number of households,
2018,Households in occupied private dwellings,Tenure of household,Total stated,Percentage of total stated,100,percentage,% of households where information available,
2023,Households in occupied private dwellings,Tenure of household,Total stated,Count,1780104,number,Number of households,
2023,Households in occupied private dwellings,Tenure of household,Total stated,Percentage of total stated,100,percentage,% of households where information available,
