Date,Median sale price
1992-01-01,102000
1992-02-01,105000
1992-03-01,105500
1992-04-01,102000
1992-05-01,107000
1992-06-01,105000
1992-07-01,107000
1992-08-01,105000
1992-09-01,104000
1992-10-01,112000
1992-11-01,106000
1992-12-01,111500
1993-01-01,109000
1993-02-01,110000
1993-03-01,110000
1993-04-01,110000
1993-05-01,109000
1993-06-01,114000
1993-07-01,107850
1993-08-01,110000
1993-09-01,114000
1993-10-01,115000
1993-11-01,117000
1993-12-01,115000
1994-01-01,115000
1994-02-01,118500
1994-03-01,117000
1994-04-01,121000
1994-05-01,124500
1994-06-01,119500
1994-07-01,125000
1994-08-01,122000
1994-09-01,128000
1994-10-01,127000
1994-11-01,128500
1994-12-01,126500
1995-01-01,125000
1995-02-01,127000
1995-03-01,128000
1995-04-01,128000
1995-05-01,129000
1995-06-01,129000
1995-07-01,125000
1995-08-01,128000
1995-09-01,130500
1995-10-01,133000
1995-11-01,129750
1995-12-01,125000
1996-01-01,130000
1996-02-01,135000
1996-03-01,133000
1996-04-01,130000
1996-05-01,134000
1996-06-01,135500
1996-07-01,130000
1996-08-01,132500
1996-09-01,134000
1996-10-01,133200
1996-11-01,136000
1996-12-01,133500
1997-01-01,137000
1997-02-01,138000
1997-03-01,138000
1997-04-01,143000
1997-05-01,140000
1997-06-01,141000
1997-07-01,144000
1997-08-01,145750
1997-09-01,140000
1997-10-01,143000
1997-11-01,148000
1997-12-01,143000
1998-01-01,146000
1998-02-01,140000
1998-03-01,146500
1998-04-01,144000
1998-05-01,141000
1998-06-01,140000
1998-07-01,145000
1998-08-01,142000
1998-09-01,142500
1998-10-01,145000
1998-11-01,142000
1998-12-01,143000
1999-01-01,147500
1999-02-01,149000
1999-03-01,140000
1999-04-01,150000
1999-05-01,144000
1999-06-01,143000
1999-07-01,148000
1999-08-01,150000
1999-09-01,146000
1999-10-01,150000
1999-11-01,147000
1999-12-01,144000
2000-01-01,148000
2000-02-01,144000
2000-03-01,152000
2000-04-01,143500
2000-05-01,146500
2000-06-01,148000
2000-07-01,142000
2000-08-01,144000
2000-09-01,136000
2000-10-01,147000
2000-11-01,145000
2000-12-01,150000
2001-01-01,145000
2001-02-01,148000
2001-03-01,150000
2001-04-01,135500
2001-05-01,137500
2001-06-01,142000
2001-07-01,138000
2001-08-01,138000
2001-09-01,145000
2001-10-01,142000
2001-11-01,142000
2001-12-01,150000
2002-01-01,143000
2002-02-01,147000
2002-03-01,141500
2002-04-01,150000
2002-05-01,141000
2002-06-01,143000
2002-07-01,144000
2002-08-01,150000
2002-09-01,150000
2002-10-01,151500
2002-11-01,153000
2002-12-01,155000
2003-01-01,157000
2003-02-01,151000
2003-03-01,160000
2003-04-01,160000
2003-05-01,160000
2003-06-01,165000
2003-07-01,172000
2003-08-01,168500
2003-09-01,178000
2003-10-01,185000
2003-11-01,185000
2003-12-01,195000
2004-01-01,190000
2004-02-01,205000
2004-03-01,204000
2004-04-01,205200
2004-05-01,216000
2004-06-01,222500
2004-07-01,220000
2004-08-01,225000
2004-09-01,229000
2004-10-01,230000
2004-11-01,230000
2004-12-01,238000
2005-01-01,238000
2005-02-01,242000
2005-03-01,253000
2005-04-01,246000
2005-05-01,250000
2005-06-01,259500
2005-07-01,256600
2005-08-01,265000
2005-09-01,265000
2005-10-01,265000
