Suburb (Internal),Suburb (Datawrapper),2000-01-01,End Date,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Addington,Addington,2000-01-01,6/1/2026,6.08%,direct,"Between January 2000 and June 2026, Addington achieved a capital growth of 6.08%.",,"Between January 2000 and June 2026, Addington achieved a capital growth of 6.08%."
Aidanfield,Aidanfield,2000-01-01,6/1/2026,5.70%,calculated,,"The exact capital growth data for Aidanfield was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.70%.","The exact capital growth data for Aidanfield was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.70%."
Aranui,Aranui,2000-01-01,6/1/2026,6.34%,direct,"Between January 2000 and June 2026, Aranui achieved a capital growth of 6.34%.",,"Between January 2000 and June 2026, Aranui achieved a capital growth of 6.34%."
Avondale,Avondale,2000-01-01,6/1/2026,5.35%,direct,"Between January 2000 and June 2026, Avondale achieved a capital growth of 5.35%.",,"Between January 2000 and June 2026, Avondale achieved a capital growth of 5.35%."
Avonhead,Avonhead,2000-01-01,6/1/2026,5.23%,direct,"Between January 2000 and June 2026, Avonhead achieved a capital growth of 5.23%.",,"Between January 2000 and June 2026, Avonhead achieved a capital growth of 5.23%."
Avonside,Avonside,2000-01-01,6/1/2026,5.91%,direct,"Between January 2000 and June 2026, Avonside achieved a capital growth of 5.91%.",,"Between January 2000 and June 2026, Avonside achieved a capital growth of 5.91%."
Beckenham,Beckenham,2000-01-01,6/1/2026,6.18%,direct,"Between January 2000 and June 2026, Beckenham achieved a capital growth of 6.18%.",,"Between January 2000 and June 2026, Beckenham achieved a capital growth of 6.18%."
Belfast,Belfast,2000-01-01,6/1/2026,5.71%,direct,"Between January 2000 and June 2026, Belfast achieved a capital growth of 5.71%.",,"Between January 2000 and June 2026, Belfast achieved a capital growth of 5.71%."
Bexley,Bexley,2000-01-01,6/1/2026,5.99%,calculated,,"The exact capital growth data for Bexley was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.99%.","The exact capital growth data for Bexley was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.99%."
Bishopdale,Bishopdale,2000-01-01,6/1/2026,5.76%,direct,"Between January 2000 and June 2026, Bishopdale achieved a capital growth of 5.76%.",,"Between January 2000 and June 2026, Bishopdale achieved a capital growth of 5.76%."
Bromley,Bromley,2000-01-01,6/1/2026,5.94%,direct,"Between January 2000 and June 2026, Bromley achieved a capital growth of 5.94%.",,"Between January 2000 and June 2026, Bromley achieved a capital growth of 5.94%."
Broomfield,Broomfield,2000-01-01,6/1/2026,5.57%,direct,"Between January 2000 and June 2026, Broomfield achieved a capital growth of 5.57%.",,"Between January 2000 and June 2026, Broomfield achieved a capital growth of 5.57%."
Bryndwr,Bryndwr,2000-01-01,6/1/2026,6.11%,direct,"Between January 2000 and June 2026, Bryndwr achieved a capital growth of 6.11%.",,"Between January 2000 and June 2026, Bryndwr achieved a capital growth of 6.11%."
Burnside,Burnside,2000-01-01,6/1/2026,5.54%,direct,"Between January 2000 and June 2026, Burnside achieved a capital growth of 5.54%.",,"Between January 2000 and June 2026, Burnside achieved a capital growth of 5.54%."
Burwood,Burwood,2000-01-01,6/1/2026,5.49%,direct,"Between January 2000 and June 2026, Burwood achieved a capital growth of 5.49%.",,"Between January 2000 and June 2026, Burwood achieved a capital growth of 5.49%."
Casebrook,Casebrook,2000-01-01,6/1/2026,5.77%,direct,"Between January 2000 and June 2026, Casebrook achieved a capital growth of 5.77%.",,"Between January 2000 and June 2026, Casebrook achieved a capital growth of 5.77%."
Cashmere,Cashmere,2000-01-01,6/1/2026,5.29%,direct,"Between January 2000 and June 2026, Cashmere achieved a capital growth of 5.29%.",,"Between January 2000 and June 2026, Cashmere achieved a capital growth of 5.29%."
Cass Bay,Cass Bay,2000-01-01,6/1/2026,5.74%,calculated,,"The exact capital growth data for Cass Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.74%.","The exact capital growth data for Cass Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.74%."
Christchurch Airport,Christchurch Airport,2000-01-01,6/1/2026,5.35%,calculated,,"The exact capital growth data for Christchurch Airport was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.35%.","The exact capital growth data for Christchurch Airport was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.35%."
Christchurch Central,Christchurch Central,2000-01-01,6/1/2026,4.89%,direct,"Between January 2000 and June 2026, Christchurch Central achieved a capital growth of 4.89%.",,"Between January 2000 and June 2026, Christchurch Central achieved a capital growth of 4.89%."
