Suburb (Internal),Suburb (Datawrapper),2000-01-01,End Date,Price,Rent,Yield,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Addington,Addington,2000-01-01,6/1/2026,567150,510,4.68%,direct,Addington has a gross yield of 4.68%.,,Addington has a gross yield of 4.68%.
Aidanfield,Aidanfield,2000-01-01,6/1/2026,N/A,N/A,4.18%,calculated,,"The exact yield data for Aidanfield was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.18%.","The exact yield data for Aidanfield was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.18%."
Aranui,Aranui,2000-01-01,6/1/2026,516350,530,5.34%,direct,Aranui has a gross yield of 5.34%.,,Aranui has a gross yield of 5.34%.
Avondale,Avondale,2000-01-01,6/1/2026,598250,620,5.39%,direct,Avondale has a gross yield of 5.39%.,,Avondale has a gross yield of 5.39%.
Avonhead,Avonhead,2000-01-01,6/1/2026,857450,650,3.94%,direct,Avonhead has a gross yield of 3.94%.,,Avonhead has a gross yield of 3.94%.
Avonside,Avonside,2000-01-01,6/1/2026,573700,513,4.65%,direct,Avonside has a gross yield of 4.65%.,,Avonside has a gross yield of 4.65%.
Beckenham,Beckenham,2000-01-01,6/1/2026,913100,665,3.79%,direct,Beckenham has a gross yield of 3.79%.,,Beckenham has a gross yield of 3.79%.
Belfast,Belfast,2000-01-01,6/1/2026,694600,625,4.68%,direct,Belfast has a gross yield of 4.68%.,,Belfast has a gross yield of 4.68%.
Bexley,Bexley,2000-01-01,6/1/2026,N/A,N/A,4.92%,calculated,,"The exact yield data for Bexley was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.92%.","The exact yield data for Bexley was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.92%."
Bishopdale,Bishopdale,2000-01-01,6/1/2026,721600,600,4.32%,direct,Bishopdale has a gross yield of 4.32%.,,Bishopdale has a gross yield of 4.32%.
Bromley,Bromley,2000-01-01,6/1/2026,565150,525,4.83%,direct,Bromley has a gross yield of 4.83%.,,Bromley has a gross yield of 4.83%.
Broomfield,Broomfield,2000-01-01,6/1/2026,722300,600,4.32%,direct,Broomfield has a gross yield of 4.32%.,,Broomfield has a gross yield of 4.32%.
Bryndwr,Bryndwr,2000-01-01,6/1/2026,835250,610,3.80%,direct,Bryndwr has a gross yield of 3.80%.,,Bryndwr has a gross yield of 3.80%.
