Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Alicetown,Alicetown,2000-01-01,2026-06-01,5.32%,direct,"Between January 2000 and June 2026, Alicetown achieved a capital growth of 5.32%.",,"Between January 2000 and June 2026, Alicetown achieved a capital growth of 5.32%."
Aotea,Aotea,2000-01-01,2026-06-01,6.91%,calculated,,"The exact capital growth data for Aotea was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.91%.","The exact capital growth data for Aotea was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.91%."
Aro Valley,Aro Valley,2000-01-01,2026-06-01,4.89%,direct,"Between January 2000 and June 2026, Aro Valley achieved a capital growth of 4.89%.",,"Between January 2000 and June 2026, Aro Valley achieved a capital growth of 4.89%."
Ascot Park,Ascot Park,2000-01-01,2026-06-01,6.51%,direct,"Between January 2000 and June 2026, Ascot Park achieved a capital growth of 6.51%.",,"Between January 2000 and June 2026, Ascot Park achieved a capital growth of 6.51%."
Avalon,Avalon,2000-01-01,2026-06-01,5.15%,direct,"Between January 2000 and June 2026, Avalon achieved a capital growth of 5.15%.",,"Between January 2000 and June 2026, Avalon achieved a capital growth of 5.15%."
Belmont,Belmont,2000-01-01,2026-06-01,4.94%,direct,"Between January 2000 and June 2026, Belmont achieved a capital growth of 4.94%.",,"Between January 2000 and June 2026, Belmont achieved a capital growth of 4.94%."
Berhampore,Berhampore,2000-01-01,2026-06-01,5.11%,direct,"Between January 2000 and June 2026, Berhampore achieved a capital growth of 5.11%.",,"Between January 2000 and June 2026, Berhampore achieved a capital growth of 5.11%."
Birchville,Birchville,2000-01-01,2026-06-01,,,,"The exact capital growth data for Birchville was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Birchville was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Boulcott,Boulcott,2000-01-01,2026-06-01,4.86%,direct,"Between January 2000 and June 2026, Boulcott achieved a capital growth of 4.86%.",,"Between January 2000 and June 2026, Boulcott achieved a capital growth of 4.86%."
Breaker Bay,Breaker Bay,2000-01-01,2026-06-01,4.99%,calculated,,"The exact capital growth data for Breaker Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.99%.","The exact capital growth data for Breaker Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.99%."
Broadmeadows,Broadmeadows,2000-01-01,2026-06-01,4.77%,direct,"Between January 2000 and June 2026, Broadmeadows achieved a capital growth of 4.77%.",,"Between January 2000 and June 2026, Broadmeadows achieved a capital growth of 4.77%."
Brooklyn,Brooklyn,2000-01-01,2026-06-01,4.99%,direct,"Between January 2000 and June 2026, Brooklyn achieved a capital growth of 4.99%.",,"Between January 2000 and June 2026, Brooklyn achieved a capital growth of 4.99%."
Brown Owl,Brown Owl,2000-01-01,2026-06-01,5.41%,direct,"Between January 2000 and June 2026, Brown Owl achieved a capital growth of 5.41%.",,"Between January 2000 and June 2026, Brown Owl achieved a capital growth of 5.41%."
Camborne,Camborne,2000-01-01,2026-06-01,4.97%,direct,"Between January 2000 and June 2026, Camborne achieved a capital growth of 4.97%.",,"Between January 2000 and June 2026, Camborne achieved a capital growth of 4.97%."
Cannons Creek,Cannons Creek,2000-01-01,2026-06-01,7.92%,direct,"Between January 2000 and June 2026, Cannons Creek achieved a capital growth of 7.92%.",,"Between January 2000 and June 2026, Cannons Creek achieved a capital growth of 7.92%."
Cape Palliser,Cape Palliser,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Cape Palliser was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Cape Palliser was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Carterton,Carterton,2000-01-01,2026-06-01,6.93%,direct,"Between January 2000 and June 2026, Carterton achieved a capital growth of 6.93%.",,"Between January 2000 and June 2026, Carterton achieved a capital growth of 6.93%."
Castlepoint,Castlepoint,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Castlepoint was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Castlepoint was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Churton Park,Churton Park,2000-01-01,2026-06-01,4.69%,direct,"Between January 2000 and June 2026, Churton Park achieved a capital growth of 4.69%.",,"Between January 2000 and June 2026, Churton Park achieved a capital growth of 4.69%."
