Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Price,Rent,Yield,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Alicetown,Alicetown,2000-01-01,2026-06-01,763700,570,3.88%,direct,Alicetown has a gross yield of 3.88%.,,Alicetown has a gross yield of 3.88%.
Aotea,Aotea,2000-01-01,2026-06-01,1221650,870,3.70%,direct,Aotea has a gross yield of 3.70%.,,Aotea has a gross yield of 3.70%.
Aro Valley,Aro Valley,2000-01-01,2026-06-01,838750,630,3.91%,direct,Aro Valley has a gross yield of 3.91%.,,Aro Valley has a gross yield of 3.91%.
Ascot Park,Ascot Park,2000-01-01,2026-06-01,644000,650,5.25%,direct,Ascot Park has a gross yield of 5.25%.,,Ascot Park has a gross yield of 5.25%.
Avalon,Avalon,2000-01-01,2026-06-01,698300,600,4.47%,direct,Avalon has a gross yield of 4.47%.,,Avalon has a gross yield of 4.47%.
Belmont,Belmont,2000-01-01,2026-06-01,857400,655,3.97%,direct,Belmont has a gross yield of 3.97%.,,Belmont has a gross yield of 3.97%.
Berhampore,Berhampore,2000-01-01,2026-06-01,779300,698,4.66%,direct,Berhampore has a gross yield of 4.66%.,,Berhampore has a gross yield of 4.66%.
Birchville,Birchville,2000-01-01,2026-06-01,660250,600,,,,"The exact yield data for Birchville was not available. However, the surrounding suburbs (which had data) produce an average yield of .","The exact yield data for Birchville was not available. However, the surrounding suburbs (which had data) produce an average yield of ."
Boulcott,Boulcott,2000-01-01,2026-06-01,838700,630,3.91%,direct,Boulcott has a gross yield of 3.91%.,,Boulcott has a gross yield of 3.91%.
Breaker Bay,Breaker Bay,2000-01-01,2026-06-01,N/A,N/A,3.51%,calculated,,"The exact yield data for Breaker Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.51%.","The exact yield data for Breaker Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.51%."
Broadmeadows,Broadmeadows,2000-01-01,2026-06-01,840000,675,4.18%,direct,Broadmeadows has a gross yield of 4.18%.,,Broadmeadows has a gross yield of 4.18%.
