Date,Median sale price
1992-01-01,123000
1992-02-01,120000
1992-03-01,125000
1992-04-01,129000
1992-05-01,128000
1992-06-01,130000
1992-07-01,124000
1992-08-01,128000
1992-09-01,128000
1992-10-01,132000
1992-11-01,132000
1992-12-01,130000
1993-01-01,120000
1993-02-01,129000
1993-03-01,128000
1993-04-01,125000
1993-05-01,125000
1993-06-01,127000
1993-07-01,128500
1993-08-01,125000
1993-09-01,126000
1993-10-01,127000
1993-11-01,135000
1993-12-01,130100
1994-01-01,127000
1994-02-01,135000
1994-03-01,130000
1994-04-01,135000
1994-05-01,130000
1994-06-01,127000
1994-07-01,130000
1994-08-01,135000
1994-09-01,132000
1994-10-01,136500
1994-11-01,140000
1994-12-01,140000
1995-01-01,131000
1995-02-01,136000
1995-03-01,137000
1995-04-01,140000
1995-05-01,138000
1995-06-01,130000
1995-07-01,136000
1995-08-01,132000
1995-09-01,138000
1995-10-01,140000
1995-11-01,142500
1995-12-01,151000
1996-01-01,138000
1996-02-01,140000
1996-03-01,145000
1996-04-01,142000
1996-05-01,139000
1996-06-01,136500
1996-07-01,138000
1996-08-01,133000
1996-09-01,137000
1996-10-01,143000
1996-11-01,154000
1996-12-01,142000
1997-01-01,145000
1997-02-01,145000
1997-03-01,155000
1997-04-01,150000
1997-05-01,152000
1997-06-01,150000
1997-07-01,156500
1997-08-01,152000
1997-09-01,149000
1997-10-01,165300
1997-11-01,163000
1997-12-01,160000
1998-01-01,160000
1998-02-01,165500
1998-03-01,164500
1998-04-01,158000
1998-05-01,168000
1998-06-01,160000
1998-07-01,157500
1998-08-01,160000
1998-09-01,165000
1998-10-01,165000
1998-11-01,166000
1998-12-01,175000
1999-01-01,167000
1999-02-01,175000
1999-03-01,170000
1999-04-01,175000
1999-05-01,170000
1999-06-01,177000
1999-07-01,179825
1999-08-01,170000
1999-09-01,175000
1999-10-01,178000
1999-11-01,175000
1999-12-01,185000
2000-01-01,185000
2000-02-01,185000
2000-03-01,179000
2000-04-01,190000
2000-05-01,185000
2000-06-01,190000
2000-07-01,182500
2000-08-01,188500
2000-09-01,190000
2000-10-01,190000
2000-11-01,197000
2000-12-01,190000
2001-01-01,195000
2001-02-01,189000
2001-03-01,190000
2001-04-01,195000
2001-05-01,198000
2001-06-01,195000
2001-07-01,190000
2001-08-01,200000
2001-09-01,185000
2001-10-01,195000
2001-11-01,206500
2001-12-01,195000
2002-01-01,190500
2002-02-01,200000
2002-03-01,205000
2002-04-01,212500
2002-05-01,204000
2002-06-01,198000
2002-07-01,205000
2002-08-01,200000
2002-09-01,205000
2002-10-01,205275
2002-11-01,222000
2002-12-01,215000
