Index,Price,Monthly Change
1000.0,393800.829,
1014.0,399337.571,1.4
1030.6,405880.764,1.6
1043.5,410957.184,1.2
1053.4,414835.548,0.9
1061.7,418128.83,0.8
1068.8,420912.535,0.7
1072.3,422275.892,0.3
1072.9,422527.353,0.0
1071.8,422102.857,-0.1
1068.9,420944.254,-0.3
1065.5,419614.018,-0.3
1063.6,418863.572,-0.2
1060.6,417692.718,-0.3
1054.0,415089.61,-0.6
1045.1,411600.36,-0.8
1031.3,406162.878,-1.3
1014.7,399608.881,-1.6
999.1,393473.143,-1.5
987.9,389054.002,-1.1
980.1,385966.248,-0.8
974.2,383645.562,-0.6
969.5,381796.002,-0.5
963.2,379314.181,-0.6
955.9,376435.433,-0.8
953.7,375576.663,-0.2
955.3,376223.235,0.2
960.2,378166.351,0.5
964.5,379851.006,0.4
973.9,383534.781,1.0
981.7,386612.134,0.8
989.8,389814.886,0.8
998.2,393116.884,0.8
1005.9,396155.609,0.8
1012.6,398774.852,0.7
1017.7,400779.364,0.5
1018.7,401199.811,0.1
1020.8,401993.816,0.2
1020.1,401728.419,-0.1
1018.5,401098.326,-0.2
1014.4,399478.624,-0.4
1010.3,397857.963,-0.4
1006.9,396536.725,-0.3
1003.9,395341.155,-0.3
1002.3,394723.423,-0.2
1002.0,394617.645,-0.0
1001.5,394429.969,-0.0
1000.4,393988.81,-0.1
999.1,393484.945,-0.1
998.3,393166.476,-0.1
1000.8,394149.372,0.2
1004.0,395400.519,0.3
1006.3,396288.396,0.2
1006.6,396414.554,0.0
1010.1,397807.636,0.3
1012.1,398577.651,0.2
1014.5,399521.226,0.2
1016.1,400163.391,0.2
1018.6,401144.472,0.2
1021.0,402095.169,0.2
1022.0,402490.169,0.1
1025.5,403865.856,0.3
1029.8,405573.449,0.4
1035.1,407633.57,0.5
1040.4,409741.205,0.5
1044.8,411464.199,0.4
1049.9,413455.275,0.5
1057.5,416480.245,0.7
1065.8,419727.29,0.8
1075.0,423342.951,0.9
1083.0,426488.465,0.7
1089.0,428860.341,0.6
1094.1,430871.35,0.5
1102.2,434055.276,0.7
1111.6,437757.639,0.8
1122.6,442102.317,1.0
1131.2,445486.86,0.8
1138.5,448362.927,0.6
1147.4,451862.994,0.8
1158.2,456117.994,0.9
1171.8,461474.068,1.2
1180.8,465023.711,0.8
1189.0,468234.719,0.7
1191.1,469081.145,0.2
1191.6,469287.43,0.0
1196.7,471298.213,0.4
1199.8,472515.932,0.2
1206.3,475052.189,0.5
1210.1,476551.672,0.3
1212.3,477406.979,0.2
1216.6,479105.999,0.4
1220.1,480476.6,0.3
1228.0,483616.189,0.6
1238.5,487725.824,0.8
1248.4,491646.557,0.8
1251.9,493005.783,0.3
1271.1,500585.262,1.5
1285.9,506389.354,1.2
1305.7,514214.746,1.5
1322.0,520636.404,1.2
1335.8,526044.447,1.0
1351.8,532373.505,1.2
1374.8,541430.132,1.7
1400.7,551610.255,1.9
1423.0,560391.468,1.6
1436.8,565830.156,1.0
1443.7,568562.048,0.5
1446.2,569549.121,0.2
1451.4,571564.542,0.4
1466.7,577598.091,1.0
1489.7,586664.437,1.6
1513.9,596196.786,1.6
1537.7,605550.518,1.6
1560.3,614483.829,1.5
1591.7,626841.164,2.0
1617.6,637048.151,1.6
1634.7,643775.176,1.0
1647.8,648924.0,0.8
1652.6,650807.652,0.3
1654.0,651353.724,0.1
1660.6,653978.991,0.4
1665.7,655962.461,0.3
1671.5,658258.155,0.3
1680.5,661819.244,0.5
1682.9,662740.744,0.1
1683.2,662861.295,0.0
1685.2,663667.296,0.1
1688.7,665012.327,0.2
1692.5,666517.687,0.2
1697.6,668537.278,0.3
1700.0,669468.448,0.1
1702.9,670630.93,0.2
1702.2,670355.724,-0.0
1709.7,673310.64,0.4
1718.6,676792.651,0.5
1726.3,679819.324,0.4
1730.6,681523.977,0.2
1733.8,682807.829,0.2
1734.8,683203.001,0.0
1740.9,685591.39,0.4
1747.1,688016.346,0.4
1754.8,691043.047,0.4
1758.7,692599.063,0.2
1760.0,693093.822,0.1
1762.6,694132.806,0.1
1766.0,695459.481,0.2
1767.4,696011.208,0.1
1770.2,697114.461,0.2
1770.7,697336.678,0.0
1767.9,696204.796,-0.2
1769.5,696857.321,0.1
1778.9,700542.017,0.5
1792.4,705855.916,0.8
1807.8,711947.785,0.8
1824.7,718568.941,0.9
1838.9,724184.748,0.8
1850.4,728722.745,0.6
1877.9,739521.709,1.5
1899.7,748114.655,1.2
1910.4,752326.611,0.6
1912.5,753158.107,0.1
1906.1,750649.187,-0.3
1913.1,753398.911,0.4
1932.0,760860.273,1.0
1964.5,773626.221,1.7
2004.2,789265.443,2.0
2036.8,802121.894,1.6
2083.0,820318.152,2.3
2130.0,838826.16,2.2
2175.8,856835.169,2.2
2245.9,884447.243,3.2
2318.9,913208.7,3.2
2366.4,931927.973,2.0
2395.0,943184.491,1.2
2417.6,952078.394,0.9
2445.5,963046.485,1.2
2482.1,977455.846,1.5
2544.8,1002153.448,2.5
2615.0,1029819.634,2.8
2674.7,1053314.541,2.3
2701.2,1063764.908,1.0
2675.1,1053483.357,-1.0
2657.7,1046635.597,-0.7
2643.2,1040927.309,-0.6
2616.0,1030221.218,-1.0
2567.7,1011187.74,-1.8
2513.4,989789.783,-2.1
2472.9,973848.274,-1.6
2429.1,956592.351,-1.8
2415.0,951039.915,-0.6
2401.1,945568.141,-0.6
2399.0,944767.498,-0.1
2373.6,934760.62,-1.1
2337.1,920365.834,-1.5
2305.0,907737.252,-1.4
2291.7,902501.427,-0.6
2257.3,888930.147,-1.5
2264.0,891585.477,0.3
2257.4,888999.493,-0.3
2269.2,893639.166,0.5
2283.5,899256.052,0.6
2304.1,907387.489,0.9
2321.0,914016.931,0.7
2298.2,905070.19,-1.0
2350.0,925460.653,2.2
2350.9,925812.43,0.0
2348.2,924733.574,-0.1
2353.4,926772.322,0.2
2345.6,923712.521,-0.3
2326.7,916284.655,-0.8
2309.5,909517.05,-0.7
2299.0,905357.3,-0.5
2290.2,901919.69,-0.4
2291.0,902231.177,0.0
2306.1,908173.494,0.6
2291.5,902413.596,-0.6
2319.8,913566.597,1.2
2318.1,912903.605,-0.1
2319.4,913388.46,0.0
2322.2,914504.474,0.1
2320.3,913772.341,-0.1
2312.0,910479.07,-0.4
2309.9,909671.046,-0.1
2303.1,906976.819,-0.3
2286.7,900521.08,-0.7
2290.5,902019.938,0.2
2303.8,907273.803,0.6
2311.1,910117.908,0.3
2311.5,910284.898,0.0
2308.6,909138.794,-0.1
2309.7,909572.204,0.0
2316.9,912406.017,0.3
2316.3,912190.121,-0.0
2301.7,906443.398,-0.6
2282.3,898798.633,-0.8
