"Year","Canterbury Region House value to income","Canterbury Region Mortgage payment proportion of income ","New Zealand House value to income","New Zealand Mortgage payment proportion of income ","Christchurch City House value to income","Christchurch City Mortgage payment proportion of income ","Selwyn District House value to income","Selwyn District Mortgage payment proportion of income "
"2005","4.4","31.8","4.8","34.8","4.5","32.7","4.5","32.7"
"2006","4.8","35","5.2","37.7","4.8","35.3","5.3","38.5"
"2007","5.1","40","5.4","42.6","5.1","40.3","5.8","45.9"
"2008","4.8","40.5","5.1","43.6","4.8","40.8","5.4","45.6"
"2009","4.3","27.2","4.7","29.5","4.3","27.3","4.8","30.1"
"2010","4.5","30.9","4.9","33.8","4.6","31.4","4.7","32.1"
"2011","4.2","27.4","4.6","29.8","4.3","28","4.3","27.4"
"2012","4.3","26.2","4.6","28","4.4","26.9","4.3","26.2"
"2013","4.7","27.6","5","29.3","4.8","28.5","4.7","27.6"
"2014","4.7","29.8","5.1","32.2","4.9","31","4.7","29.8"
"2015","4.8","29.5","5.4","33.3","4.9","30.5","4.8","29.8"
"2016","4.9","27.7","5.8","33","5","28.6","4.7","26.9"
"2017","5","28.2","6.4","36.2","5.1","28.9","4.8","27.3"
"2018","4.9","27.4","6.4","36.2","4.9","27.9","4.7","26.7"
"2019","4.8","26.3","6.2","34.3","4.9","26.7","4.6","25.6"
"2020","4.8","24.7","6.3","32.9","4.8","25.1","4.5","23.5"
"2021","5.5","26.2","7.5","36.1","5.7","27.2","5.1","24.5"
"2022","6.5","36.8","8","45","6.7","37.7","6.6","37.1"
"2023","5.8","39.6","6.6","44.8","5.9","40","5.7","39"
"2024","5.7","40.2","6.4","44.7","5.9","41.2","5.5","38.6"
"2025","5.6","34","6.1","36.8","5.8","35.2","5.2","31.6"
"2026","5.6","33.1","5.9","35","5.9","35.3","5","29.7"
