full_address,TLA,LocalityName,class_lookup
"44 Stalkers Road, NA, Waimakariri, New Zealand",059,NA,Urban
"13 Coronation Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"38 Bromley Road, Bromley, Christchurch City, New Zealand",060,Bromley,Urban
"8 RAILWAY TERRACE, Amberley, Hurunui, New Zealand",058,Amberley,Urban
"NA, Waimate, Waimate, New Zealand",066,Waimate,Urban
"35 Belt Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"201 STANTON ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"2/59 Barrington Street, Spreydon, Christchurch City, New Zealand",060,Spreydon,Urban
"39 AMURI AVENUE, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"11 James Hight Drive, Halswell, Christchurch City, New Zealand",060,Halswell,Urban
"28 Hassall Street, NA, Waimakariri, New Zealand",059,NA,Urban
"145 Mount Hutt Station R, NA, Ashburton, New Zealand",063,NA,Rural
"15 Yellowlees Drive, NA, Waimakariri, New Zealand",059,NA,Urban
"37 Chinnerys Road, NA, Waimakariri, New Zealand",059,NA,Urban
"8 Trent Street, Oamaru, Oamaru, Waitaki (part), New Zealand",068,Oamaru,Urban
"17 FALSTONE CRESCENT, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"44 Rahera Street, Spreydon, Christchurch City, New Zealand",060,Spreydon,Urban
"60 JACKS PASS ROAD, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"73 Nursery Road, Phillipstown, Christchurch City, New Zealand",060,Phillipstown,Urban
"356 Lyalldale Middle Road, Saint Andrews, Waimate, New Zealand",066,Saint Andrews,Peri-urban (disputed)
"SILVER SPRINGS ROAD, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"49 PENTIRE PARADE, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"730 CRAMPTONS BUSH ROAD, Sefton - Balcairn, Hurunui, New Zealand",058,Sefton - Balcairn,Urban
"1/22 Ranfurly Street, St Albans, Christchurch City, New Zealand",060,St Albans,Urban
"82 LINCOLN TAI TAPU ROAD, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"132 Cosy Dell Road, Herbert, Herbert, Waitaki (part), New Zealand",068,Herbert,Rural
"39 FREYBERG AVE, Kurow, Waitaki (part), New Zealand",068,Kurow,Peri-urban (disputed)
"4 Nun Street, Herbert, Herbert, Waitaki (part), New Zealand",068,Herbert,Rural
"469 MADDISONS ROAD, Rolleston, Selwyn, New Zealand",062,Rolleston,Peri-urban (disputed)
"3 Shearman Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"15 JIMMYS LANE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"219/1 Lady Isaac Way, Mairehau, Christchurch City, New Zealand",060,Mairehau,Urban
"18A MURRAY PLACE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Rural
"250 STANTON ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"30 MILL ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"0 WEST ACCESS RD, Livingstone, Waitaki (part), New Zealand",068,Livingstone,Rural
"4 Harlech Street, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"761 NEWTONS ROAD, Rolleston, Selwyn, New Zealand",062,Rolleston,Peri-urban (disputed)
"1895 LESLIE HILLS ROAD, Waiau, Hurunui, New Zealand",058,Waiau,Rural
"215A Talbot Street, Geraldine, Geraldine, Timaru, New Zealand",064,Geraldine,Urban
"20 Blakehall Place, Spreydon, Christchurch City, New Zealand",060,Spreydon,Urban
"42 Walton Street, Sydenham, Christchurch City, New Zealand",060,Sydenham,Urban
"9 Johnson Street, NA, Waimakariri, New Zealand",059,NA,Urban
"4 Youngston Lane, Woolston, Christchurch City, New Zealand",060,Woolston,Urban
"80/5 Corbett Crescent, Oaklands, Christchurch City, New Zealand",060,Oaklands,Urban
"141 BEACH ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"222 HORNDON STREET, Darfield, Selwyn, New Zealand",062,Darfield,Urban
"159 High Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"16 JIMMYS LANE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"12 EREBUS PLACE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Rural
"5 Coleridge Street, Sydenham, Christchurch City, New Zealand",060,Sydenham,Urban
