TLA,LandUse,n,TLA_name
059,91,18151,Waimakariri
063,91,6755,Ashburton
059,21,5351,Waimakariri
068,NA,1986,Waitaki (part)
063,NA,1821,Ashburton
063,92,1538,Ashburton
054,91,1424,Kaikoura
063,12,1131,Ashburton
059,NA,1114,Waimakariri
059,29,1003,Waimakariri
063,99,934,Ashburton
059,99,850,Waimakariri
063,13,756,Ashburton
063,09,643,Ashburton
064,21,549,Timaru
059,12,459,Waimakariri
062,21,457,Selwyn
064,12,455,Timaru
059,22,454,Waimakariri
063,9,443,Ashburton
059,55,437,Waimakariri
054,21,434,Kaikoura
058,12,402,Hurunui
062,91,358,Selwyn
066,12,352,Waimate
063,19,336,Ashburton
058,21,329,Hurunui
059,92,295,Waimakariri
063,97,288,Ashburton
054,99,263,Kaikoura
063,17,259,Ashburton
054,29,237,Kaikoura
058,91,237,Hurunui
058,99,219,Hurunui
065,12,215,Mackenzie
063,11,198,Ashburton
059,97,197,Waimakariri
062,12,197,Selwyn
065,21,189,Mackenzie
063,90,188,Ashburton
065,29,166,Mackenzie
059,11,155,Waimakariri
066,21,154,Waimate
063,75,143,Ashburton
059,81,141,Waimakariri
054,92,138,Kaikoura
064,29,133,Timaru
062,97,132,Selwyn
068,12,130,Waitaki (part)
063,81,129,Ashburton
059,19,120,Waimakariri
063,16,119,Ashburton
058,29,118,Hurunui
059,77,115,Waimakariri
059,16,109,Waimakariri
054,97,108,Kaikoura
063,46,107,Ashburton
063,62,105,Ashburton
054,93,102,Kaikoura
066,11,102,Waimate
062,29,101,Selwyn
059,62,100,Waimakariri
064,11,100,Timaru
059,17,97,Waimakariri
062,99,95,Selwyn
064,55,90,Timaru
064,13,88,Timaru
063,14,86,Ashburton
059,13,85,Waimakariri
054,14,84,Kaikoura
054,55,83,Kaikoura
054,12,81,Kaikoura
064,91,81,Timaru
068,99,78,Waitaki (part)
068,91,77,Waitaki (part)
059,79,76,Waimakariri
063,79,76,Ashburton
058,55,74,Hurunui
063,55,74,Ashburton
062,11,72,Selwyn
063,84,70,Ashburton
064,17,70,Timaru
065,99,69,Mackenzie
063,53,67,Ashburton
059,75,66,Waimakariri
063,80,66,Ashburton
058,97,64,Hurunui
059,59,64,Waimakariri
062,13,64,Selwyn
059,14,63,Waimakariri
058,14,62,Hurunui
066,14,62,Waimate
063,89,58,Ashburton
068,21,56,Waitaki (part)
059,41,55,Waimakariri
062,14,55,Selwyn
064,NA,55,Timaru
062,55,52,Selwyn
063,59,52,Ashburton
064,97,52,Timaru
066,13,52,Waimate
065,91,51,Mackenzie
063,78,50,Ashburton
059,84,49,Waimakariri
063,44,49,Ashburton
054,19,48,Kaikoura
059,15,47,Waimakariri
059,44,46,Waimakariri
063,40,46,Ashburton
064,16,46,Timaru
054,11,45,Kaikoura
062,19,45,Selwyn
064,99,45,Timaru
066,91,45,Waimate
058,19,44,Hurunui
059,53,44,Waimakariri
062,17,43,Selwyn
063,23,43,Ashburton
059,69,41,Waimakariri
064,14,41,Timaru
065,79,41,Mackenzie
065,14,39,Mackenzie
068,55,38,Waitaki (part)
059,00,37,Waimakariri
