Estimated Resident Population (Mean Quarter Ended) by Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec),
,Total
1991Q1,"3,481,500"
1991Q2,"3,491,500"
1991Q3,"3,499,900"
1991Q4,"3,510,300"
1992Q1,"3,521,300"
1992Q2,"3,529,100"
1992Q3,"3,535,600"
1992Q4,"3,545,900"
1993Q1,"3,558,300"
1993Q2,"3,568,300"
1993Q3,"3,577,500"
1993Q4,"3,590,400"
1994Q1,"3,604,700"
1994Q2,"3,615,700"
1994Q3,"3,625,900"
1994Q4,"3,640,100"
1995Q1,"3,656,000"
1995Q2,"3,668,500"
1995Q3,"3,681,000"
1995Q4,"3,697,700"
1996Q1,"3,715,000"
1996Q2,"3,727,700"
1996Q3,"3,738,800"
1996Q4,"3,753,900"
1997Q1,"3,768,800"
1997Q2,"3,778,300"
1997Q3,"3,786,300"
1997Q4,"3,797,000"
1998Q1,"3,807,000"
1998Q2,"3,813,100"
1998Q3,"3,818,000"
1998Q4,"3,825,100"
1999Q1,"3,831,100"
1999Q2,"3,834,000"
1999Q3,"3,838,100"
1999Q4,"3,846,100"
2000Q1,"3,853,500"
2000Q2,"3,856,800"
2000Q3,"3,861,300"
2000Q4,"3,869,000"
2001Q1,"3,874,700"
2001Q2,"3,878,400"
2001Q3,"3,887,900"
2001Q4,"3,905,800"
2002Q1,"3,925,900"
2002Q2,"3,942,100"
2002Q3,"3,958,000"
2002Q4,"3,978,600"
2003Q1,"4,001,400"
2003Q2,"4,020,300"
2003Q3,"4,035,900"
2003Q4,"4,053,100"
2004Q1,"4,070,200"
2004Q2,"4,083,100"
2004Q3,"4,094,100"
2004Q4,"4,107,500"
2005Q1,"4,120,500"
2005Q2,"4,130,200"
2005Q3,"4,139,900"
2005Q4,"4,153,500"
2006Q1,"4,168,500"
2006Q2,"4,180,300"
2006Q3,"4,190,000"
2006Q4,"4,202,300"
2007Q1,"4,214,300"
2007Q2,"4,221,600"
2007Q3,"4,229,000"
2007Q4,"4,240,000"
2008Q1,"4,250,700"
2008Q2,"4,257,700"
2008Q3,"4,264,700"
2008Q4,"4,274,900"
2009Q1,"4,286,900"
2009Q2,"4,298,000"
2009Q3,"4,309,900"
2009Q4,"4,324,700"
2010Q1,"4,338,900"
2010Q2,"4,348,200"
2010Q3,"4,356,700"
2010Q4,"4,368,300"
2011Q1,"4,378,200"
2011Q2,"4,383,200"
2011Q3,"4,388,000"
2011Q4,"4,395,700"
2012Q1,"4,402,900"
2012Q2,"4,407,300"
2012Q3,"4,411,800"
2012Q4,"4,420,700"
2013Q1,"4,430,900"
2013Q2,"4,439,000"
2013Q3,"4,450,000"
2013Q4,"4,467,600"
2014Q1,"4,489,200"
2014Q2,"4,508,800"
2014Q3,"4,528,400"
2014Q4,"4,552,300"
2015Q1,"4,578,100"
2015Q2,"4,600,600"
2015Q3,"4,622,800"
2015Q4,"4,650,000"
2016Q1,"4,679,400"
2016Q2,"4,704,600"
2016Q3,"4,727,700"
2016Q4,"4,754,400"
2017Q1,"4,782,200"
2017Q2,"4,805,200"
2017Q3,"4,824,900"
2017Q4,"4,847,900"
2018Q1,"4,872,800"
2018Q2,"4,893,400"
2018Q3,"4,909,900"
2018Q4,"4,927,900"
2019Q1,"4,947,700"
2019Q2,"4,964,500"
2019Q3,"4,983,100"
2019Q4,"5,011,500"
2020Q1,"5,047,200"
2020Q2,"5,069,900"
2020Q3,"5,075,500"
2020Q4,"5,080,000"
2021Q1,"5,082,400"
2021Q2,"5,084,000"
2021Q3,"5,085,300"
2021Q4,"5,085,700"
2022Q1,"5,083,600"
2022Q2,"5,081,800"
2022Q3,"5,087,700"
2022Q4,"5,107,200"
2023Q1,"5,143,300"
2023Q2,"5,183,000"
2023Q3,"5,219,400"
2023Q4,"5,250,900"
2024Q1,"5,273,100"
2024Q2,"5,286,500"
2024Q3,"5,295,400"
2024Q4,"5,304,300"
2025Q1,"5,312,600"
2025Q2,"5,319,200"
2025Q3,"5,326,300"
2025Q4,"5,335,500"
2026Q1,"5,345,700"
2026Q2,"5,354,600"
Table information: ,
Units:,
"Number, Magnitude = Units",
,
Footnotes:,
Population estimates include the latest migration estimates published in the same month.,
"Due to rounding, individual figures may not sum to stated totals.",
All population estimates at 30 June 2023 and beyond are based on the 2023 Estimated Resident Population (ERP).,
Population estimates after 30 June 2018 have been revised to incorporate results from the 2023 Census and 2023 Post-enumeration Survey.,
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration and birth estimates.",
,
Symbols:,
.. figure not available,
C: Confidential,
E: Early Estimate,
P: Provisional,
R: Revised,
S: Suppressed,
,
Status flags are not displayed,
,
Table reference:,
DPE059AA,
,
Last updated:,
18 August 2026 10:45am,
,
Source: Statistics New Zealand,
Contact: Information Centre,
Telephone: 0508 525 525,
Email:info@stats.govt.nz,
,
,
